location_name,sex_name,measure_name,window,start_year,end_year,period_count,period_width_years,age_group_count,age_coverage,global_period_slope_pct_per_year,reference_age,reference_period,reference_cohort_midpoint,design_rank,design_columns,log_rate_objective_value,weighting,formal_inference_performed,identifiability_note,interpretation,analysis_role,method_label
China,Female,DALYs,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.001645248163328894,40-44 years,2009-2013,1969.0,32,32,0.0010855043337913747,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Incidence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.017172444449586877,40-44 years,2009-2013,1969.0,32,32,0.002727543097660415,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,principal secondary APC outcome,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,Prevalence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.010636715188871992,40-44 years,2009-2013,1969.0,32,32,0.0010378752073398724,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,DALYs,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.0002245983040993771,40-44 years,2009-2013,1969.0,32,32,0.0008311741430899568,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,Incidence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.017019645215288204,40-44 years,2009-2013,1969.0,32,32,0.0024684225759653996,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,principal secondary APC outcome,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Male,Prevalence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,0.002242763657789304,40-44 years,2009-2013,1969.0,32,32,0.0011249348684857158,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Female,DALYs,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.2907393451529239,40-44 years,2009-2013,1969.0,32,32,0.0073271375666360255,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Female,Incidence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.0688962905696866,40-44 years,2009-2013,1969.0,32,32,0.01822887100926501,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,principal secondary APC outcome,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Female,Prevalence,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.28010484252892764,40-44 years,2009-2013,1969.0,32,32,0.007729461245087659,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
United States of America,Male,DALYs,primary_1994_2023,1994,2023,6,5,12,10-14 to 65-69,-0.10968597797468282,40-44 years,2009-2013,1969.0,32,32,0.006830361984000593,population,False,The exact age = period - cohort dependency is handled by two linear trends plus orthogonal nonlinear curvatures; three unconstrained linear effects are not estimated.,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,exploratory rate-surface extension,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
