location_name,sex_name,measure_name,count_1990_adult,count_2023_adult,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total,chain_population_growth,chain_population_aging,chain_rate_change,chain_total_change,population_growth_difference,population_aging_difference,rate_change_difference,total_change_difference
China,Female,DALYs,981432.9910020108,1548871.3277335828,403066.53482057096,149621.66926102445,14750.132649984094,567438.3367315795,71.03265830472733,26.367916930470162,2.5994247648025026,407627.42935653724,148585.46631259276,11225.4410624495,567438.3367315795,4560.894535966276,-1036.2029484316881,-3524.691587534595,0.0
United States of America,Female,DALYs,385611.4138011097,464662.2413069485,131647.50548356486,-18657.914685436477,-33938.76329228763,79050.82750584075,166.53526552120908,-23.602428050557624,-42.93283747065144,134907.13357807498,-20891.775956212852,-34964.53011602139,79050.82750584075,3259.628094510117,-2233.861270776375,-1025.7668237337639,0.0
China,Female,Incidence,112468.84108020327,129940.2080384887,39629.766332045874,-22786.513207253636,628.1138334895101,17471.366958281753,226.82693590418023,-130.42204002505028,3.5951041208700185,40888.60354079177,-24145.80969185573,728.5731093457119,17471.366958281753,1258.8372087458993,-1359.296484602095,100.45927585620188,0.0
United States of America,Female,Incidence,31275.829779913412,35354.91069113944,10363.575191133306,-4422.401296093409,-1862.0929838179588,4079.0809112219395,254.06642860704542,-108.41661129905421,-45.64981730799121,10389.839176079418,-4391.086670048667,-1919.6715948088126,4079.0809112219395,26.263984946112032,31.314626044742,-57.578610990853804,0.0
China,Female,Prevalence,1539185.4777092482,2465013.7576078335,637194.2597419745,278108.3868250115,10525.633331598752,925828.2798985848,68.82423809864316,30.038873607908748,1.1368882934480817,638978.6053835378,279454.4627208972,7395.211794149751,925828.2798985848,1784.3456415632972,1346.075895885704,-3130.4215374490013,0.0
United States of America,Female,Prevalence,624851.7298002982,766467.9634766134,215130.11649674672,-24241.668315626954,-49272.21450480206,141616.23367631773,151.91063263866664,-17.11785978649484,-34.7927728521718,219048.2697452275,-27285.28819165829,-50146.747877251495,141616.23367631773,3918.153248480783,-3043.6198760313346,-874.533372449434,0.0
China,Male,DALYs,1244646.2134439577,1863678.7738647286,463192.9423425817,146922.76324567525,8916.85483251419,619032.5604207711,74.82529546228366,23.734254486679724,1.4404500510366032,471020.80821740197,140932.41466262238,7079.337540746783,619032.5604207711,7827.865874820272,-5990.348583052866,-1837.5172917674063,0.0
United States of America,Male,DALYs,385181.7982555,497975.76444955164,154732.90489429448,-24599.399439680506,-17339.53926056213,112793.96619405184,137.18189909918627,-21.80914482372174,-15.37275427546454,157935.23103644824,-28057.230173412816,-17084.034668983593,112793.96619405184,3202.326142153761,-3457.8307337323095,255.50459157853766,0.0
China,Male,Incidence,149191.68386571287,171280.30877958256,48763.62238547604,-26290.97578510899,-384.02168650600163,22088.624913861044,220.76350418208202,-119.02495464355904,-1.738549538522973,49677.70709051877,-27760.479400895332,171.39722423760406,22088.624913861044,914.0847050427328,-1469.5036157863433,555.4189107436057,0.0
United States of America,Male,Incidence,35054.94300939488,41469.60122492642,13513.772394813857,-6004.215038771558,-1094.899140511027,6414.658215531272,210.6701860138721,-93.60148018851665,-17.068705825355433,13535.116771323797,-5994.062756728325,-1126.3957990642,6414.658215531272,21.344376509940048,10.152282043232844,-31.496658553172892,0.0
China,Male,Prevalence,1920293.509529894,2920251.9442918487,720518.881280536,273232.4824142592,6207.071067163178,999958.4347619584,72.05488310642197,27.32438398595064,0.6207329076273836,729114.8569222036,266868.9121558562,3974.6656838986873,999958.4347619584,8595.97564166761,-6363.570258403022,-2232.4053832644904,0.0
United States of America,Male,Prevalence,606725.1570790269,798906.0584382518,245909.17656189582,-31322.058012561814,-22406.217190111638,192180.90135922236,127.95713560643843,-16.29821579097237,-11.65891981546605,249948.13801993892,-36151.267789674785,-21615.96887104176,192180.90135922236,4038.961458043108,-4829.20977711297,790.2483190698767,0.0
